State,District,Latitude,Longitude,District code,Population,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Other Religion,Households,Urban Households,Rural Households,SC,ST,Households with Internet,Housholds with Electric Lighting,Households with Computer,sex_ratio,literacy rate
Gujarat,Navsari,20.866973318871995,72.86184869848157,490,1329672,1225087,78669,5733,2459,601,13386,2823,409156,141417,267739,35464,639659,6726,267679,24397,1041.0,75.0
Gujarat,Panch Mahals,22.80435606837605,73.61984598290586,484,2390776,2220974,158513,2863,662,337,5236,131,567601,104238,463363,100446,721604,3456,398937,19753,1054.0,60.0
Gujarat,Patan,23.80634198473284,71.75162977099237,470,1343734,1194745,142797,916,337,66,3602,66,404138,102655,301483,123408,13303,2231,223424,12870,1069.0,62.0
Gujarat,Porbandar,21.55092351651571,69.71896987722886,478,585449,549749,33565,500,248,91,515,38,183572,87557,96015,51830,13039,1653,117040,5639,1052.0,67.0
Gujarat,Rajkot,22.40603377715488,70.83679439383323,476,3804558,3397406,361388,5478,1918,1170,33591,269,1181006,721532,459474,290169,24017,21785,747352,67370,1079.0,72.0
Gujarat,Sabar Kantha,23.71803594548552,73.13638790459964,472,2428589,2260560,148563,6375,614,168,11110,52,665533,121509,544024,187685,542156,5262,438606,25425,1051.0,65.0
Gujarat,Surat,21.25761372772093,72.93488716344339,492,6081322,5260193,660772,21052,5703,12902,112835,3920,1899838,1529998,369840,158115,856952,55694,1252452,149331,1270.0,75.0
Gujarat,Surendranagar,22.82672007299272,71.48358740875906,475,1756268,1620282,109681,1419,512,312,22992,128,500598,159810,340788,179461,21453,2975,302068,15309,1075.0,62.0
Gujarat,The Dangs,20.801633877551023,73.6883518367347,489,228291,203545,3593,20029,69,32,39,560,59618,7516,52102,992,216073,137,29794,1393,994.0,62.0
Gujarat,Vadodara,22.26133739279589,73.49433010291594,486,4165626,3713941,384579,23813,9340,2069,27650,1124,1240425,692971,547454,221629,1149901,53606,798277,117818,1071.0,69.0
Gujarat,Valsad,20.44238231644259,72.9148584798345,491,1705678,1571147,94034,19661,1589,913,13809,1417,498391,235981,262410,38237,902794,11020,329218,31285,1084.0,69.0
Haryana,Ambala,30.3503672316384,76.94970310734456,70,1128350,955096,22143,3705,138202,381,4845,110,315256,139891,175365,296246,0,12899,199681,32767,1130.0,72.0
Haryana,Bhiwani,28.728868064516128,76.02110225806452,81,1634445,1611031,15515,873,2401,254,1016,26,456282,99235,357047,341162,0,5292,266244,25236,1129.0,65.0
