State,District,Latitude,Longitude,District code,Population,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Other Religion,Households,Urban Households,Rural Households,SC,ST,Households with Internet,Housholds with Electric Lighting,Households with Computer,Total Power Parity,Non Workers,sex_ratio,literacy rate,GDP Per Capita,Unemployment Rate
Maharashtra,Nashik,20.266912871287143,74.03824168316828,516,6107187,5237009,693052,23946,8912,94783,38212,1795,1668932,764271,904661,554687,1564369,45039,904710,138887,13629,3343859,1070.0,71.0,0.0022316329924071425,54.75285102617621
Maharashtra,Osmanabad,18.19459456066944,75.99495575313809,525,1657576,1437623,178925,942,340,28216,4530,195,444990,77832,367158,265184,36039,3209,240042,18183,2786,883660,1082.0,69.0,0.0016807675786811584,53.310376115484296
Maharashtra,Parbhani,19.31032425249168,76.70163338870431,513,1836086,1328385,306364,2081,1371,187899,6238,262,427239,133759,293480,247308,40514,3982,272486,21196,3410,1013289,1056.0,63.0,0.0018572114813794126,55.18744764678779
Maharashtra,Pune,18.51696171428573,74.12922881632647,521,9429408,8090254,673704,134192,27090,340404,127786,9873,3222457,2056739,1165718,1180703,348876,235018,1925019,490260,27223,5380415,1093.0,76.0,0.002887031720337056,57.05994480247328
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,403,1493984,1422986,17332,47653,2117,781,409,1782,420916,66638,354278,224942,505609,3342,297308,13857,1575,803817,1009.0,64.0,0.0010542281577312742,53.80358825797331
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,520,2634200,2239370,227465,17452,7477,121791,12260,1159,959028,377160,581868,134952,305125,38570,547206,96301,6097,1561231,1042.0,74.0,0.002314554703515299,59.26774732366563
Maharashtra,Ratnagiri,17.210195070127703,73.25725893866404,528,1615069,1307211,187197,1990,230,113467,3347,95,639362,100824,538538,66948,20374,7752,367352,31062,3484,900993,891.0,74.0,0.002157183377304623,55.78665679299151
Maharashtra,Sangli,17.154930181086502,74.70713822937628,531,2822143,2440312,239607,9098,1260,38210,87453,769,853673,226801,626872,353093,18333,13212,485126,49056,5798,1607039,1036.0,73.0,0.0020544671194904014,56.94392523695645
Maharashtra,Satara,17.6737908974359,74.18052064102558,527,3003741,2691952,146970,4408,1182,141315,12810,676,975471,200949,774522,323236,29635,14093,562653,57423,5649,1648794,1012.0,74.0,0.0018806548234351764,54.891350485944024
Maharashtra,Sindhudurg,16.170948049777163,73.51329008172343,529,849651,780384,26264,15471,219,24762,1046,53,340836,44989,295847,55586,6976,3517,194228,15721,1749,502473,965.0,78.0,0.0020584922515244496,59.13875226416493
Maharashtra,Solapur,17.837357937584812,75.42394823609216,526,4317756,3795424,441254,9882,1279,35497,28134,568,1156231,376302,779929,649745,77592,15145,595560,59296,8995,2419361,1066.0,67.0,0.002083258062752967,56.032832795553986
Maharashtra,Thane,19.698767747440264,72.79882742564581,517,11060148,8716055,1355630,280700,39149,449617,172052,9862,3618151,2904157,713994,730089,1542451,256170,2231800,551643,35118,6567381,1129.0,74.0,0.0031751835508891926,59.37878046478221
Maharashtra,Wardha,20.80743024390242,78.57259105691062,504,1300774,1057096,53854,2696,2147,175417,5663,2254,388704,120218,268486,188830,149507,4313,266155,16260,2754,692539,1057.0,78.0,0.0021172009895646746,53.24053217545861
Maharashtra,Washim,20.282282394366213,77.25502394366208,502,1197160,859949,142672,1707,518,179330,8476,381,330846,55921,274925,229462,80471,1875,196022,10757,1942,627368,1075.0,73.0,0.001622172474857162,52.40469110227538
Maharashtra,Yavatmal,20.04258346738159,78.05326371760479,510,2772348,2251401,239236,4567,1596,249874,11422,3745,798132,168889,629243,328518,514057,6094,446516,29917,4937,1416349,1050.0,73.0,0.0017808009672667356,51.08842757114186
Manipur,Bishnupur,24.50712111801243,93.8246236024845,275,237399,175102,18691,4264,56,76,16,38457,56149,21172,34977,22113,3287,676,34364,3447,226,127462,1001.0,66.0,0.000951983791001647,53.69104334896103
Manipur,Chandel,24.2635812987013,94.09443844155844,280,144182,10810,3086,129049,136,400,59,354,34160,3783,30377,540,128280,184,18764,1782,250,67944,1071.0,63.0,0.0017339196293573401,47.12377411882204
Manipur,Churachandpur,24.30309718875504,93.38671506024085,274,274143,12034,2886,254979,152,495,87,2333,57825,4853,52972,443,254787,837,29894,4496,327,151488,1026.0,71.0,0.0011928081329816921,55.258751819305985
Manipur,Senapati,25.08465586034914,94.03366234413956,272,479148,43833,1649,426819,140,2409,53,1243,39834,1826,38008,1000,419210,256,22798,2170,823,245526,1067.0,55.0,0.0017176321303647307,51.24220491372186
Manipur,Tamenglong,24.98312942238265,93.49450740072204,273,140651,2995,589,134760,59,425,57,1144,28101,4119,23982,22,134626,125,11541,1362,90,69976,1060.0,60.0,0.0006398816929847637,49.75151260922425
Manipur,Thoubal,24.545392553191498,93.97959893617023,276,422168,267146,107323,4322,106,114,24,42347,104263,38302,65961,40593,1808,880,49507,5110,539,226849,998.0,64.0,0.001276742908036611,53.73429535161357
Manipur,Ukhrul,25.05900314960629,94.44129566929138,279,183998,7553,1115,174112,108,635,70,32,41890,5806,36084,248,173606,276,14026,2437,79,96069,1061.0,71.0,0.00042935249296188,52.211980565006144
Meghalaya,East Garo Hills,25.82728228228228,90.64684924924916,294,317917,17272,3359,289708,56,1004,38,5617,74216,11518,62698,509,305180,288,24550,2368,450,191844,1029.0,60.0,0.0014154637845727029,60.344052063903476
Meghalaya,East Khasi Hills,25.303763888888884,91.75922519841272,298,825922,144935,14185,543394,2495,3111,303,115597,215091,108843,106248,5642,661158,5032,135941,19306,1456,499136,989.0,70.0,0.0017628783347580037,60.43379399023152
Meghalaya,Jaintia Hills,25.33959557069844,92.37608160136298,299,395124,12456,1646,271596,34,284,45,107559,83717,7171,76546,1317,376099,510,41677,4333,528,240944,987.0,47.0,0.0013362893673884654,60.979338131826964
Meghalaya,South Garo Hills,25.240568578553614,90.64560349127176,295,142334,7036,1050,132984,27,332,10,362,39643,3713,35930,319,134237,179,10940,1625,139,89265,1058.0,58.0,0.0009765762221254234,62.71516292663735
Meghalaya,West Garo Hills,25.495285185185185,90.03709947089942,293,643291,122936,106788,389956,209,3392,144,16950,157945,18594,139351,8810,474009,1630,51301,8872,791,387598,1016.0,56.0,0.001229614591219215,60.25235857489067
Meghalaya,West Khasi Hills,25.500889926739926,91.25364542124538,296,383461,6498,1533,366881,58,1313,38,5878,87131,12299,74832,168,375097,149,32873,2462,479,220116,1021.0,60.0,0.0012491491963980692,57.40244770654643
Mizoram,Aizawl,23.90781335453101,92.85359459459472,283,400309,13249,5264,379134,105,1570,76,505,100911,80341,20570,627,373542,4019,79804,21093,963,225673,991.0,85.0,0.002405641641831685,56.37470054382989
Mizoram,Champhai,23.54166580976866,93.24221799485862,284,125745,1075,699,123446,9,151,45,194,31112,12717,18395,17,123466,186,23948,2263,187,65403,1017.0,80.0,0.0014871366654737764,52.0124060598831
Mizoram,Kolasib,24.2020004347826,92.73470391304348,282,83955,4000,4426,75210,16,108,2,46,22176,12507,9669,84,73609,367,14853,1986,142,47283,1046.0,78.0,0.001691382288130546,56.319456851884944
Mizoram,Lawngtlai,22.36102843137253,92.66964156862753,287,117894,1668,522,63892,52,51549,122,2,27266,5273,21993,146,112354,162,9283,1329,242,72328,1058.0,53.0,0.0020526914007498263,61.3500262948072
Mizoram,Lunglei,23.007717036172675,92.63512555425892,286,161428,5231,1290,127124,74,27543,93,5,38794,17315,21479,178,153533,482,26394,3725,274,83136,1055.0,75.0,0.001697351141065986,51.50035929330723
Mizoram,Mamit,23.73852942502819,92.4330803833147,281,86364,2989,1782,69104,13,12328,25,19,20855,4129,16726,51,82080,90,12158,1073,94,47025,1079.0,70.0,0.0010884164698253902,54.44977073780743
Mizoram,Saiha,22.35744801061008,93.02827931034489,288,56574,933,514,54977,11,102,4,2,12827,5784,7043,83,54642,168,7400,1194,88,37113,1022.0,75.0,0.0015554848516986602,65.6008060239686
Mizoram,Serchhip,23.263864705882344,92.914158496732,285,64937,991,335,63444,6,60,9,35,15490,8018,7472,32,62889,131,12315,987,118,32540,1024.0,84.0,0.0018171458490536983,50.11010671881978
Nagaland,Dimapur,25.814176811594223,93.75074057971014,265,378811,108900,31212,234239,566,1270,2148,157,111969,62853,49116,0,223989,3303,71413,12077,866,227461,1088.0,73.0,0.0022861004564281398,60.04603878979226
Nagaland,Kohima,25.60311428571428,93.78600657596373,270,267988,25496,4384,234955,998,1519,80,335,76100,44255,31845,0,224738,1928,50724,7982,677,153163,1077.0,74.0,0.0025262325178739345,57.152932220845706
Nagaland,Mokokchung,26.478911764705888,94.522426006192,262,194622,9840,2057,181847,78,442,66,6,55278,17742,37536,0,178431,537,40154,2728,346,94555,1081.0,82.0,0.0017778051813258523,48.583921653256056
